CreationDate, PostId, Count
Tue Feb 02 02:00:00 GMT 2010,13100550,1
Tue Feb 02 02:00:00 GMT 2010,13108090,1
Tue Feb 02 06:00:00 GMT 2010,13100550,1
Tue Feb 02 06:00:00 GMT 2010,13105830,2
Tue Feb 02 06:00:00 GMT 2010,13108090,2
Tue Feb 02 06:00:00 GMT 2010,13107200,0
Tue Feb 02 02:30:00 GMT 2010,13100550,1
Tue Feb 02 02:30:00 GMT 2010,13108090,1
Tue Feb 02 06:30:00 GMT 2010,13100550,1
Tue Feb 02 06:30:00 GMT 2010,13105830,2
Tue Feb 02 06:30:00 GMT 2010,13108090,2
Tue Feb 02 06:30:00 GMT 2010,13107200,0
Tue Feb 02 03:00:00 GMT 2010,13100550,1
Tue Feb 02 03:00:00 GMT 2010,13108090,1
Tue Feb 02 07:00:00 GMT 2010,13100550,1
Tue Feb 02 07:00:00 GMT 2010,13105830,3
Tue Feb 02 07:00:00 GMT 2010,13108090,2
Tue Feb 02 07:00:00 GMT 2010,13107200,2
Tue Feb 02 04:00:00 GMT 2010,13100550,1
Tue Feb 02 04:00:00 GMT 2010,13105830,1
Tue Feb 02 04:00:00 GMT 2010,13108090,1
Tue Feb 02 01:00:00 GMT 2010,13100550,1
Tue Feb 02 05:00:00 GMT 2010,13100550,1
Tue Feb 02 05:00:00 GMT 2010,13105830,2
Tue Feb 02 05:00:00 GMT 2010,13108090,1
Tue Feb 02 05:00:00 GMT 2010,13107200,0
Tue Feb 02 01:30:00 GMT 2010,13100550,1
Tue Feb 02 05:30:00 GMT 2010,13100550,1
Tue Feb 02 05:30:00 GMT 2010,13105830,2
Tue Feb 02 05:30:00 GMT 2010,13108090,1
Tue Feb 02 05:30:00 GMT 2010,13107200,0
Tue Feb 02 04:30:00 GMT 2010,13100550,1
Tue Feb 02 04:30:00 GMT 2010,13105830,2
Tue Feb 02 04:30:00 GMT 2010,13108090,1
Tue Feb 02 03:30:00 GMT 2010,13100550,1
Tue Feb 02 03:30:00 GMT 2010,13105830,1
Tue Feb 02 03:30:00 GMT 2010,13108090,1
Tue Feb 02 10:00:00 GMT 2010,13100550,2
Tue Feb 02 10:00:00 GMT 2010,13105830,3
Tue Feb 02 10:00:00 GMT 2010,13108090,2
Tue Feb 02 10:00:00 GMT 2010,13107200,3
Tue Feb 02 09:00:00 GMT 2010,13100550,2
Tue Feb 02 09:00:00 GMT 2010,13105830,3
Tue Feb 02 09:00:00 GMT 2010,13108090,2
Tue Feb 02 09:00:00 GMT 2010,13107200,3
Tue Feb 02 13:00:00 GMT 2010,13100550,1
Tue Feb 02 13:00:00 GMT 2010,13105830,3
Tue Feb 02 13:00:00 GMT 2010,13108090,2
