CreationDate, PostId, Count
Tue Feb 02 01:00:00 GMT 2010,13100550,1
Tue Feb 02 02:00:00 GMT 2010,13100550,1
Tue Feb 02 02:00:00 GMT 2010,13108090,1
Tue Feb 02 07:00:00 GMT 2010,13100550,2
Tue Feb 02 07:00:00 GMT 2010,13105830,3
Tue Feb 02 07:00:00 GMT 2010,13108090,2
Tue Feb 02 07:00:00 GMT 2010,13107200,3
Tue Feb 02 05:00:00 GMT 2010,13100550,2
Tue Feb 02 05:00:00 GMT 2010,13105830,2
Tue Feb 02 05:00:00 GMT 2010,13108090,1
Tue Feb 02 05:00:00 GMT 2010,13107200,1
Tue Feb 02 04:00:00 GMT 2010,13100550,2
Tue Feb 02 04:00:00 GMT 2010,13105830,1
Tue Feb 02 04:00:00 GMT 2010,13108090,1
Tue Feb 02 03:00:00 GMT 2010,13100550,1
Tue Feb 02 03:00:00 GMT 2010,13108090,1
Tue Feb 02 06:00:00 GMT 2010,13100550,2
Tue Feb 02 06:00:00 GMT 2010,13105830,2
Tue Feb 02 06:00:00 GMT 2010,13108090,2
Tue Feb 02 06:00:00 GMT 2010,13107200,1
Tue Feb 02 13:00:00 GMT 2010,13105830,3
Tue Feb 02 13:00:00 GMT 2010,13100550,2
Tue Feb 02 13:00:00 GMT 2010,13108090,3
Tue Feb 02 13:00:00 GMT 2010,13107200,5
Tue Feb 02 13:00:00 GMT 2010,40045930,1
Tue Feb 02 12:00:00 GMT 2010,13100550,3
Tue Feb 02 12:00:00 GMT 2010,13105830,3
Tue Feb 02 12:00:00 GMT 2010,13108090,3
Tue Feb 02 12:00:00 GMT 2010,13107200,5
Tue Feb 02 12:00:00 GMT 2010,40045930,1
Tue Feb 02 11:00:00 GMT 2010,13100550,3
Tue Feb 02 11:00:00 GMT 2010,13105830,3
Tue Feb 02 11:00:00 GMT 2010,13108090,3
Tue Feb 02 11:00:00 GMT 2010,13107200,5
Tue Feb 02 08:00:00 GMT 2010,13100550,3
Tue Feb 02 08:00:00 GMT 2010,13105830,3
Tue Feb 02 08:00:00 GMT 2010,13108090,3
Tue Feb 02 08:00:00 GMT 2010,13107200,4
Tue Feb 02 09:00:00 GMT 2010,13100550,3
Tue Feb 02 09:00:00 GMT 2010,13105830,3
Tue Feb 02 09:00:00 GMT 2010,13108090,3
Tue Feb 02 09:00:00 GMT 2010,13107200,4
Tue Feb 02 10:00:00 GMT 2010,13100550,3
Tue Feb 02 10:00:00 GMT 2010,13105830,3
Tue Feb 02 10:00:00 GMT 2010,13108090,3
Tue Feb 02 10:00:00 GMT 2010,13107200,4
Tue Feb 02 14:00:00 GMT 2010,13105830,3
Tue Feb 02 14:00:00 GMT 2010,13100550,2
Tue Feb 02 14:00:00 GMT 2010,13108090,2
Tue Feb 02 14:00:00 GMT 2010,13107200,5
Tue Feb 02 14:00:00 GMT 2010,40045930,1
Tue Feb 02 15:00:00 GMT 2010,13105830,3
Tue Feb 02 15:00:00 GMT 2010,13100550,2
Tue Feb 02 15:00:00 GMT 2010,13108090,2
Tue Feb 02 15:00:00 GMT 2010,13107200,5
Tue Feb 02 15:00:00 GMT 2010,40045930,1
Tue Feb 02 20:00:00 GMT 2010,13107200,1
Tue Feb 02 20:00:00 GMT 2010,40045930,1
Tue Feb 02 19:00:00 GMT 2010,13100550,1
Tue Feb 02 19:00:00 GMT 2010,13108090,1
Tue Feb 02 19:00:00 GMT 2010,13107200,2
Tue Feb 02 19:00:00 GMT 2010,40045930,1
Tue Feb 02 16:00:00 GMT 2010,13105830,2
Tue Feb 02 16:00:00 GMT 2010,13100550,1
