Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
918: 0.165,129: 0.145,919: 0.14,70: 0.09,None
918: 0.165,129: 0.145,919: 0.14,31: 0.12,434: 0.105
918: 0.165,129: 0.145,919: 0.14,70: 0.09,None
31: 0.12,434: 0.105,None,None,None
918: 0.165,129: 0.145,919: 0.14,31: 0.12,70: 0.09
918: 0.165,129: 0.145,919: 0.14,31: 0.12,434: 0.105
918: 0.165,129: 0.145,919: 0.14,70: 0.09,None
918: 0.165,919: 0.14,None,None,None
31: 0.12,434: 0.105,None,None,None
129: 0.145,31: 0.12,434: 0.105,70: 0.09,None
918: 0.165,919: 0.14,None,None,None
129: 0.145,31: 0.12,434: 0.105,None,None
129: 0.145,31: 0.12,434: 0.105,70: 0.09,None
918: 0.165,919: 0.14,70: 0.09,None,None
31: 0.12,434: 0.105,None,None,None
918: 0.165,129: 0.145,919: 0.14,70: 0.09,None
434: 0.105,None,None,None,None
31: 0.12,434: 0.105,None,None,None
135: 0.115,None,None,None,None
135: 0.115,None,None,None,None
135: 0.115,None,None,None,None
135: 0.115,None,None,None,None
135: 0.115,905: 0.09,None,None,None
135: 0.115,905: 0.09,None,None,None
135: 0.115,905: 0.09,None,None,None
135: 0.115,905: 0.09,None,None,None
135: 0.115,500: 0.095,905: 0.09,None,None
135: 0.115,500: 0.095,905: 0.09,None,None
500: 0.095,905: 0.09,None,None,None
500: 0.095,905: 0.09,None,None,None
500: 0.095,905: 0.09,None,None,None
500: 0.095,905: 0.09,None,None,None
500: 0.095,None,None,None,None
500: 0.095,None,None,None,None
500: 0.095,None,None,None,None
500: 0.095,None,None,None,None
404: 0.1,None,None,None,None
404: 0.1,None,None,None,None
833: 0.11,404: 0.1,None,None,None
129: 0.145,833: 0.11,404: 0.1,None,None
129: 0.145,833: 0.11,93: 0.105,404: 0.1,None
732: 0.15,129: 0.145,833: 0.11,93: 0.105,404: 0.1
732: 0.15,129: 0.145,833: 0.11,417: 0.11,93: 0.105
732: 0.15,129: 0.145,40: 0.115,833: 0.11,417: 0.11
732: 0.15,129: 0.145,40: 0.115,833: 0.11,417: 0.11
732: 0.15,129: 0.145,714: 0.135,40: 0.115,833: 0.11
732: 0.15,129: 0.145,714: 0.135,40: 0.115,833: 0.11
732: 0.15,129: 0.145,714: 0.135,40: 0.115,833: 0.11
732: 0.15,129: 0.145,714: 0.135,40: 0.115,417: 0.11
732: 0.15,714: 0.135,40: 0.115,417: 0.11,93: 0.105
732: 0.15,714: 0.135,40: 0.115,417: 0.11,100: 0.105
714: 0.135,40: 0.115,417: 0.11,100: 0.105,868: 0.095
714: 0.135,40: 0.115,100: 0.105,868: 0.095,None
714: 0.135,100: 0.105,868: 0.095,None,None
714: 0.135,100: 0.105,None,None,None
100: 0.105,None,None,None,None
265: 0.095,None,None,None,None
265: 0.095,None,None,None,None
265: 0.095,None,None,None,None
265: 0.095,8: 0.095,None,None,None
545: 0.15,842: 0.115,100: 0.105,265: 0.095,8: 0.095
545: 0.15,915: 0.14,842: 0.115,100: 0.105,265: 0.095
545: 0.15,915: 0.14,842: 0.115,100: 0.105,265: 0.095
545: 0.15,915: 0.14,614: 0.13,842: 0.115,808: 0.11
545: 0.15,915: 0.14,614: 0.13,842: 0.115,878: 0.115
545: 0.15,915: 0.14,614: 0.13,842: 0.115,878: 0.115
545: 0.15,915: 0.14,614: 0.13,842: 0.115,878: 0.115
545: 0.15,915: 0.14,784: 0.135,614: 0.13,878: 0.115
545: 0.15,915: 0.14,784: 0.135,614: 0.13,878: 0.115
545: 0.15,915: 0.14,784: 0.135,614: 0.13,878: 0.115
915: 0.14,784: 0.135,614: 0.13,878: 0.115,808: 0.11
784: 0.135,614: 0.13,878: 0.115,808: 0.11,41: 0.105
784: 0.135,614: 0.13,878: 0.115,808: 0.11,41: 0.105
784: 0.135,878: 0.115,41: 0.105,None,None
784: 0.135,41: 0.105,None,None,None
784: 0.135,41: 0.105,None,None,None
784: 0.135,41: 0.105,None,None,None
833: 0.11,None,None,None,None
842: 0.115,833: 0.11,None,None,None
782: 0.175,842: 0.115,833: 0.11,968: 0.095,None
782: 0.175,842: 0.115,833: 0.11,968: 0.095,None
782: 0.175,993: 0.13,194: 0.125,842: 0.115,833: 0.11
782: 0.175,658: 0.15,993: 0.13,194: 0.125,842: 0.115
782: 0.175,658: 0.15,993: 0.13,194: 0.125,842: 0.115
782: 0.175,658: 0.15,993: 0.13,194: 0.125,842: 0.115
782: 0.175,683: 0.155,658: 0.15,993: 0.13,194: 0.125
782: 0.175,683: 0.155,658: 0.15,993: 0.13,194: 0.125
782: 0.175,683: 0.155,658: 0.15,993: 0.13,194: 0.125
782: 0.175,683: 0.155,658: 0.15,556: 0.14,993: 0.13
782: 0.175,683: 0.155,658: 0.15,556: 0.14,993: 0.13
782: 0.175,683: 0.155,658: 0.15,556: 0.14,993: 0.13
782: 0.175,683: 0.155,658: 0.15,556: 0.14,842: 0.115
782: 0.175,683: 0.155,556: 0.14,842: 0.115,501: 0.095
782: 0.175,683: 0.155,556: 0.14,501: 0.095,20: 0.075
782: 0.175,683: 0.155,556: 0.14,501: 0.095,20: 0.075
556: 0.14,501: 0.095,20: 0.075,None,None
556: 0.14,501: 0.095,20: 0.075,None,None
556: 0.14,501: 0.095,None,None,None
699: 0.155,16: 0.155,None,None,None
